"","gene_short_name","feature"
"RBM3","RBM3","NA"
"AC115618.2","AC115618.2","NA"
"WDR13","WDR13","NA"
"WAS","WAS","NA"
"SUV39H1","SUV39H1","NA"
"AC231533.1","AC231533.1","NA"
"GLOD5","GLOD5","NA"
"GATA1","GATA1","NA"
"HDAC6","HDAC6","NA"
"ERAS","ERAS","NA"
"PCSK1N","PCSK1N","NA"
"TIMM17B","TIMM17B","NA"
"PQBP1","PQBP1","NA"
"SLC35A2","SLC35A2","NA"
"PIM2","PIM2","NA"
"OTUD5","OTUD5","NA"
"KCND1","KCND1","NA"
"GRIPAP1","GRIPAP1","NA"
"TFE3","TFE3","NA"
"CCDC120","CCDC120","NA"
"PRAF2","PRAF2","NA"
"WDR45","WDR45","NA"
"GPKOW","GPKOW","NA"
"MAGIX","MAGIX","NA"
"PLP2","PLP2","NA"
"PRICKLE3","PRICKLE3","NA"
"SYP","SYP","NA"
"SYP.AS1","SYP-AS1","NA"
"CACNA1F","CACNA1F","NA"
"CCDC22","CCDC22","NA"
"FOXP3","FOXP3","NA"
"PPP1R3F","PPP1R3F","NA"
"AC232271.1","AC232271.1","NA"
"GAGE10","GAGE10","NA"
"GAGE12J","GAGE12J","NA"
"GAGE13","GAGE13","NA"
"GAGE2E","GAGE2E","NA"
"GAGE12B","GAGE12B","NA"
"GAGE12C","GAGE12C","NA"
"GAGE12D","GAGE12D","NA"
"GAGE12F","GAGE12F","NA"
"GAGE12E","GAGE12E","NA"
"GAGE12G","GAGE12G","NA"
"GAGE12H","GAGE12H","NA"
"GAGE1","GAGE1","NA"
"GAGE2A","GAGE2A","NA"
"PAGE1","PAGE1","NA"
"PAGE4","PAGE4","NA"
"USP27X.AS1","USP27X-AS1","NA"
"USP27X","USP27X","NA"
"CLCN5","CLCN5","NA"
"AKAP4","AKAP4","NA"
"CCNB3","CCNB3","NA"
"DGKK","DGKK","NA"
"SHROOM4","SHROOM4","NA"
"BMP15","BMP15","NA"
"LINC01284","LINC01284","NA"
"NUDT10","NUDT10","NA"
"AC233976.1","AC233976.1","NA"
"AL158055.1","AL158055.1","NA"
"CXorf67","CXORF67","NA"
"NUDT11","NUDT11","NA"
"LINC01496","LINC01496","NA"
"CENPVL3","CENPVL3","NA"
"CENPVL2","CENPVL2","NA"
"CENPVL1","CENPVL1","NA"
"GSPT2","GSPT2","NA"
"MAGED1","MAGED1","NA"
"AC239585.1","AC239585.1","NA"
"AC239585.2","AC239585.2","NA"
"MAGED4B","MAGED4B","NA"
"MAGED4","MAGED4","NA"
"AC245177.1","AC245177.1","NA"
"XAGE2","XAGE2","NA"
"XAGE1A","XAGE1A","NA"
"XAGE1B","XAGE1B","NA"
"SSX7","SSX7","NA"
"SSX2","SSX2","NA"
"SSX2B","SSX2B","NA"
"SPANXN5","SPANXN5","NA"
"XAGE5","XAGE5","NA"
"XAGE3","XAGE3","NA"
"FAM156B","FAM156B","NA"
"FAM156A","FAM156A","NA"
"GPR173","GPR173","NA"
"TSPYL2","TSPYL2","NA"
"AL591212.1","AL591212.1","NA"
"KANTR","KANTR","NA"
"KDM5C","KDM5C","NA"
"IQSEC2","IQSEC2","NA"
"SMC1A","SMC1A","NA"
"RIBC1","RIBC1","NA"
"HSD17B10","HSD17B10","NA"
"AC233728.1","AC233728.1","NA"
"HUWE1","HUWE1","NA"
"PHF8","PHF8","NA"
"FAM120C","FAM120C","NA"
"WNK3","WNK3","NA"
"TSR2","TSR2","NA"
"FGD1","FGD1","NA"
"GNL3L","GNL3L","NA"
"ITIH6","ITIH6","NA"
"MAGED2","MAGED2","NA"
"TRO","TRO","NA"
"PFKFB1","PFKFB1","NA"
"APEX2","APEX2","NA"
"ALAS2","ALAS2","NA"
"PAGE2B","PAGE2B","NA"
"PAGE2","PAGE2","NA"
"FAM104B","FAM104B","NA"
"MTRNR2L10","MTRNR2L10","NA"
"PAGE5","PAGE5","NA"
"PAGE3","PAGE3","NA"
"MAGEH1","MAGEH1","NA"
"USP51","USP51","NA"
"FOXR2","FOXR2","NA"
"RRAGB","RRAGB","NA"
"AL445472.1","AL445472.1","NA"
"KLF8","KLF8","NA"
"UBQLN2","UBQLN2","NA"
"AL354793.1","AL354793.1","NA"
"NBDY","NBDY","NA"
"SPIN3","SPIN3","NA"
"AL139397.1","AL139397.1","NA"
"SPIN2B","SPIN2B","NA"
"AL022157.1","AL022157.1","NA"
"SPIN2A","SPIN2A","NA"
"FAAH2","FAAH2","NA"
"ZXDB","ZXDB","NA"
"NLRP2B","NLRP2B","NA"
"ZXDA","ZXDA","NA"
"SPIN4","SPIN4","NA"
"SPIN4.AS1","SPIN4-AS1","NA"
"ARHGEF9","ARHGEF9","NA"
"AMER1","AMER1","NA"
"ASB12","ASB12","NA"
"MTMR8","MTMR8","NA"
"ZC4H2","ZC4H2","NA"
"ZC3H12B","ZC3H12B","NA"
"LAS1L","LAS1L","NA"
"MSN","MSN","NA"
"AL034397.2","AL034397.2","NA"
"AL034397.3","AL034397.3","NA"
"VSIG4","VSIG4","NA"
"HEPH","HEPH","NA"
"EDA2R","EDA2R","NA"
"AR","AR","NA"
"AL157700.1","AL157700.1","NA"
"OPHN1","OPHN1","NA"
"YIPF6","YIPF6","NA"
"STARD8","STARD8","NA"
"EFNB1","EFNB1","NA"
"PJA1","PJA1","NA"
"LINC00269","LINC00269","NA"
"FAM155B","FAM155B","NA"
"AL158069.1","AL158069.1","NA"
"EDA","EDA","NA"
"AWAT2","AWAT2","NA"
"OTUD6A","OTUD6A","NA"
"IGBP1","IGBP1","NA"
"IGBP1.AS2","IGBP1-AS2","NA"
"IGBP1.AS1","IGBP1-AS1","NA"
"DGAT2L6","DGAT2L6","NA"
"AWAT1","AWAT1","NA"
"P2RY4","P2RY4","NA"
"ARR3","ARR3","NA"
"RAB41","RAB41","NA"
"PDZD11","PDZD11","NA"
"KIF4A","KIF4A","NA"
"GDPD2","GDPD2","NA"
"AL139398.1","AL139398.1","NA"
"DLG3","DLG3","NA"
"DLG3.AS1","DLG3-AS1","NA"
"TEX11","TEX11","NA"
"SLC7A3","SLC7A3","NA"
"SNX12","SNX12","NA"
"FOXO4","FOXO4","NA"
"CXorf65","CXORF65","NA"
"AL590764.2","AL590764.2","NA"
"IL2RG","IL2RG","NA"
"MED12","MED12","NA"
"NLGN3","NLGN3","NA"
"AL590764.1","AL590764.1","NA"
"GJB1","GJB1","NA"
"ZMYM3","ZMYM3","NA"
"NONO","NONO","NA"
"ITGB1BP2","ITGB1BP2","NA"
"TAF1","TAF1","NA"
"OGT","OGT","NA"
"GCNA","GCNA","NA"
"CXCR3","CXCR3","NA"
"BX276092.9","BX276092.9","NA"
"LINC00891","LINC00891","NA"
"CXorf49","CXORF49","NA"
"CXorf49B","CXORF49B","NA"
"NHSL2","NHSL2","NA"
"RTL5","RTL5","NA"
"PIN4","PIN4","NA"
"ERCC6L","ERCC6L","NA"
"RPS4X","RPS4X","NA"
"CITED1","CITED1","NA"
"HDAC8","HDAC8","NA"
"PHKA1","PHKA1","NA"
"PHKA1.AS1","PHKA1-AS1","NA"
"DMRTC1B","DMRTC1B","NA"
"FAM236B","FAM236B","NA"
"FAM236D","FAM236D","NA"
"DMRTC1","DMRTC1","NA"
"FAM236C","FAM236C","NA"
"FAM236A","FAM236A","NA"
"PABPC1L2B.AS1","PABPC1L2B-AS1","NA"
"PABPC1L2B","PABPC1L2B","NA"
"PABPC1L2A","PABPC1L2A","NA"
"AL662864.1","AL662864.1","NA"
"NAP1L2","NAP1L2","NA"
"CDX4","CDX4","NA"
"CHIC1","CHIC1","NA"
"TSIX","TSIX","NA"
"XIST","XIST","NA"
"JPX","JPX","NA"
"FTX","FTX","NA"
"AL353804.1","AL353804.1","NA"
"ZCCHC13","ZCCHC13","NA"
"SLC16A2","SLC16A2","NA"
"RLIM","RLIM","NA"
"NEXMIF","NEXMIF","NA"
"ABCB7","ABCB7","NA"
"UPRT","UPRT","NA"
"ZDHHC15","ZDHHC15","NA"
"MAGEE2","MAGEE2","NA"
"AL451105.2","AL451105.2","NA"
"PBDC1","PBDC1","NA"
"MAGEE1","MAGEE1","NA"
"AC233296.1","AC233296.1","NA"
"FGF16","FGF16","NA"
"ATRX","ATRX","NA"
"MAGT1","MAGT1","NA"
"COX7B","COX7B","NA"
"ATP7A","ATP7A","NA"
"PGK1","PGK1","NA"
"PGAM4","PGAM4","NA"
"TAF9B","TAF9B","NA"
"CYSLTR1","CYSLTR1","NA"
"RTL3","RTL3","NA"
"LPAR4","LPAR4","NA"
"P2RY10","P2RY10","NA"
"GPR174","GPR174","NA"
"ITM2A","ITM2A","NA"
"TBX22","TBX22","NA"
"TENT5D","TENT5D","NA"
"BRWD3","BRWD3","NA"
"AL391294.1","AL391294.1","NA"
"HMGN5","HMGN5","NA"
"SH3BGRL","SH3BGRL","NA"
"POU3F4","POU3F4","NA"
"CYLC1","CYLC1","NA"
"RPS6KA6","RPS6KA6","NA"
"HDX","HDX","NA"
"APOOL","APOOL","NA"
"SATL1","SATL1","NA"
"AC003001.1","AC003001.1","NA"
"ZNF711","ZNF711","NA"
"POF1B","POF1B","NA"
"CHM","CHM","NA"
"DACH2","DACH2","NA"
"KLHL4","KLHL4","NA"
"Z83818.2","Z83818.2","NA"
"CPXCR1","CPXCR1","NA"
"AL121872.1","AL121872.1","NA"
"TGIF2LX","TGIF2LX","NA"
"AL121823.1","AL121823.1","NA"
"PABPC5.AS1","PABPC5-AS1","NA"
"PABPC5","PABPC5","NA"
"PCDH11X","PCDH11X","NA"
"NAP1L3","NAP1L3","NA"
"FAM133A","FAM133A","NA"
"DIAPH2","DIAPH2","NA"
"RPA4","RPA4","NA"
"DIAPH2.AS1","DIAPH2-AS1","NA"
"AL157778.1","AL157778.1","NA"
"PCDH19","PCDH19","NA"
"TNMD","TNMD","NA"
"TSPAN6","TSPAN6","NA"
"SRPX2","SRPX2","NA"
"SYTL4","SYTL4","NA"
"CSTF2","CSTF2","NA"
"NOX1","NOX1","NA"
"XKRX","XKRX","NA"
"ARL13A","ARL13A","NA"
"TRMT2B","TRMT2B","NA"
"TMEM35A","TMEM35A","NA"
"CENPI","CENPI","NA"
"DRP2","DRP2","NA"
"TAF7L","TAF7L","NA"
"TIMM8A","TIMM8A","NA"
"BTK","BTK","NA"
"RPL36A","RPL36A","NA"
"RPL36A.HNRNPH2","RPL36A-HNRNPH2","NA"
"GLA","GLA","NA"
"HNRNPH2","HNRNPH2","NA"
"ARMCX4","ARMCX4","NA"
"ARMCX1","ARMCX1","NA"
"ARMCX6","ARMCX6","NA"
"ARMCX3","ARMCX3","NA"
"ARMCX3.AS1","ARMCX3-AS1","NA"
"ARMCX2","ARMCX2","NA"
"NXF5","NXF5","NA"
"ZMAT1","ZMAT1","NA"
"TCEAL2","TCEAL2","NA"
"TCEAL6","TCEAL6","NA"
"BEX5","BEX5","NA"
"TCP11X1","TCP11X1","NA"
"NXF2","NXF2","NA"
"AC235565.2","AC235565.2","NA"
"NXF2B","NXF2B","NA"
"TCP11X2","TCP11X2","NA"
"TMSB15A","TMSB15A","NA"
"ARMCX5","ARMCX5","NA"
"AL035427.1","AL035427.1","NA"
"GPRASP1","GPRASP1","NA"
"GPRASP2","GPRASP2","NA"
"BHLHB9","BHLHB9","NA"
"LINC00630","LINC00630","NA"
"Z68871.1","Z68871.1","NA"
"RAB40AL","RAB40AL","NA"
"Z95624.1","Z95624.1","NA"
"BEX1","BEX1","NA"
"NXF3","NXF3","NA"
"BEX4","BEX4","NA"
"TCEAL8","TCEAL8","NA"
"TCEAL5","TCEAL5","NA"
"BEX2","BEX2","NA"
"TCEAL7","TCEAL7","NA"
"TCEAL9","TCEAL9","NA"
"BEX3","BEX3","NA"
"AL606763.1","AL606763.1","NA"
"Z69733.1","Z69733.1","NA"
"RAB40A","RAB40A","NA"
"TCEAL4","TCEAL4","NA"
"TCEAL3","TCEAL3","NA"
"TCEAL3.AS1","TCEAL3-AS1","NA"
"TCEAL1","TCEAL1","NA"
"MORF4L2","MORF4L2","NA"
"MORF4L2.AS1","MORF4L2-AS1","NA"
"GLRA4","GLRA4","NA"
"TMEM31","TMEM31","NA"
"PLP1","PLP1","NA"
"RAB9B","RAB9B","NA"
"TMSB15B.AS1","TMSB15B-AS1","NA"
"TMSB15B","TMSB15B","NA"
"H2BFWT","H2BFWT","NA"
"H2BFM","H2BFM","NA"
"TMSB15B.1","TMSB15B","NA"
"SLC25A53","SLC25A53","NA"
"ZCCHC18","ZCCHC18","NA"
"FAM199X","FAM199X","NA"
"ESX1","ESX1","NA"
"IL1RAPL2","IL1RAPL2","NA"
"TEX13A","TEX13A","NA"
"NRK","NRK","NA"
"SERPINA7","SERPINA7","NA"
"MUM1L1","MUM1L1","NA"
"CXorf57","CXORF57","NA"
"RNF128","RNF128","NA"
"TBC1D8B","TBC1D8B","NA"
"MORC4","MORC4","NA"
"RIPPLY1","RIPPLY1","NA"
"CLDN2","CLDN2","NA"
"RBM41","RBM41","NA"
"NUP62CL","NUP62CL","NA"
"PIH1D3","PIH1D3","NA"
"FRMPD3.AS1","FRMPD3-AS1","NA"
"FRMPD3","FRMPD3","NA"
"PRPS1","PRPS1","NA"
"TSC22D3","TSC22D3","NA"
"NCBP2L","NCBP2L","NA"
"MID2","MID2","NA"
"AL034399.2","AL034399.2","NA"
"TEX13B","TEX13B","NA"
"VSIG1","VSIG1","NA"
"PSMD10","PSMD10","NA"
"ATG4A","ATG4A","NA"
"COL4A6","COL4A6","NA"
"COL4A5","COL4A5","NA"
"AL035425.2","AL035425.2","NA"
"IRS4","IRS4","NA"
"AL035425.1","AL035425.1","NA"
"GUCY2F","GUCY2F","NA"
"NXT2","NXT2","NA"
"KCNE5","KCNE5","NA"
"ACSL4","ACSL4","NA"
"TMEM164","TMEM164","NA"
"AMMECR1","AMMECR1","NA"
"RTL9","RTL9","NA"
"CHRDL1","CHRDL1","NA"
"PAK3","PAK3","NA"
"CAPN6","CAPN6","NA"
"DCX","DCX","NA"
"SERTM2","SERTM2","NA"
"ALG13","ALG13","NA"
"ALG13.AS1","ALG13-AS1","NA"
"TRPC5","TRPC5","NA"
"TRPC5OS","TRPC5OS","NA"
"RTL4","RTL4","NA"
"LHFPL1","LHFPL1","NA"
"AMOT","AMOT","NA"
"XACT","XACT","NA"
"HTR2C","HTR2C","NA"
"IL13RA2","IL13RA2","NA"
"LRCH2","LRCH2","NA"
"RBMXL3","RBMXL3","NA"
"LUZP4","LUZP4","NA"
"PLS3.AS1","PLS3-AS1","NA"
"PLS3","PLS3","NA"
"DANT1","DANT1","NA"
"DANT2","DANT2","NA"
"AGTR2","AGTR2","NA"
"SLC6A14","SLC6A14","NA"
"CT83","CT83","NA"
"BX119904.2","BX119904.2","NA"
"KLHL13","KLHL13","NA"
"WDR44","WDR44","NA"
"DOCK11","DOCK11","NA"
"IL13RA1","IL13RA1","NA"
"ZCCHC12","ZCCHC12","NA"
"LINC01285","LINC01285","NA"
"LONRF3","LONRF3","NA"
"AL772284.2","AL772284.2","NA"
"KIAA1210","KIAA1210","NA"
"PGRMC1","PGRMC1","NA"
"AC004835.1","AC004835.1","NA"
"AC004973.1","AC004973.1","NA"
"SLC25A43","SLC25A43","NA"
"SLC25A5","SLC25A5","NA"
"CXorf56","CXORF56","NA"
"UBE2A","UBE2A","NA"
"NKRF","NKRF","NA"
"SEPT6","SEPT6","NA"
"SOWAHD","SOWAHD","NA"
"RPL39","RPL39","NA"
"UPF3B","UPF3B","NA"
"RNF113A","RNF113A","NA"
"NDUFA1","NDUFA1","NA"
"AKAP14","AKAP14","NA"
"NKAP","NKAP","NA"
"RHOXF1.AS1","RHOXF1-AS1","NA"
"RHOXF2B","RHOXF2B","NA"
"RHOXF1","RHOXF1","NA"
"LINC01402","LINC01402","NA"
"RHOXF2","RHOXF2","NA"
"ZBTB33","ZBTB33","NA"
"TMEM255A","TMEM255A","NA"
"ATP1B4","ATP1B4","NA"
"LAMP2","LAMP2","NA"
"CUL4B","CUL4B","NA"
"MCTS1","MCTS1","NA"
"C1GALT1C1","C1GALT1C1","NA"
"CT47B1","CT47B1","NA"
"AC008162.2","AC008162.2","NA"
"CT47A12","CT47A12","NA"
"CT47A11","CT47A11","NA"
"CT47A10","CT47A10","NA"
"CT47A9","CT47A9","NA"
"CT47A8","CT47A8","NA"
"CT47A7","CT47A7","NA"
"CT47A6","CT47A6","NA"
"CT47A5","CT47A5","NA"
"CT47A4","CT47A4","NA"
"CT47A3","CT47A3","NA"
"CT47A2","CT47A2","NA"
"CT47A1","CT47A1","NA"
"GLUD2","GLUD2","NA"
"AL359851.1","AL359851.1","NA"
"GRIA3","GRIA3","NA"
"THOC2","THOC2","NA"
"XIAP","XIAP","NA"
"XIAP.AS1","XIAP-AS1","NA"
"AL121601.1","AL121601.1","NA"
"STAG2","STAG2","NA"
"SH2D1A","SH2D1A","NA"
"TEX13D","TEX13D","NA"
"TENM1","TENM1","NA"
"TEX13C","TEX13C","NA"
"AL445072.1","AL445072.1","NA"
"DCAF12L2","DCAF12L2","NA"
"DCAF12L1","DCAF12L1","NA"
"PRR32","PRR32","NA"
"AL591643.1","AL591643.1","NA"
"ACTRT1","ACTRT1","NA"
"AL442647.1","AL442647.1","NA"
"SMARCA1","SMARCA1","NA"
"OCRL","OCRL","NA"
"APLN","APLN","NA"
"XPNPEP2","XPNPEP2","NA"
"SASH3","SASH3","NA"
"ZDHHC9","ZDHHC9","NA"
"AL034405.1","AL034405.1","NA"
"UTP14A","UTP14A","NA"
"BCORL1","BCORL1","NA"
"ELF4","ELF4","NA"
"AIFM1","AIFM1","NA"
"RAB33A","RAB33A","NA"
"ZNF280C","ZNF280C","NA"
"SLC25A14","SLC25A14","NA"
"GPR119","GPR119","NA"
"RBMX2","RBMX2","NA"
"ENOX2","ENOX2","NA"
"LINC01201","LINC01201","NA"
"ARHGAP36","ARHGAP36","NA"
"IGSF1","IGSF1","NA"
"OR13H1","OR13H1","NA"
"FIRRE","FIRRE","NA"
"STK26","STK26","NA"
"FRMD7","FRMD7","NA"
"RAP2C","RAP2C","NA"
"RAP2C.AS1","RAP2C-AS1","NA"
"MBNL3","MBNL3","NA"
"HS6ST2","HS6ST2","NA"
"HS6ST2.AS1","HS6ST2-AS1","NA"
"USP26","USP26","NA"
"TFDP3","TFDP3","NA"
"GPC4","GPC4","NA"
"GPC3","GPC3","NA"
"CCDC160","CCDC160","NA"
"PHF6","PHF6","NA"
"HPRT1","HPRT1","NA"
"MIR503HG","MIR503HG","NA"
"LINC00629","LINC00629","NA"
"PLAC1","PLAC1","NA"
"AL672032.1","AL672032.1","NA"
"FAM122B","FAM122B","NA"
"FAM122C","FAM122C","NA"
"MOSPD1","MOSPD1","NA"
"LINC02243","LINC02243","NA"
"SMIM10","SMIM10","NA"
"RTL8B","RTL8B","NA"
"RTL8C","RTL8C","NA"
"RTL8A","RTL8A","NA"
"SMIM10L2B.AS1","SMIM10L2B-AS1","NA"
"SMIM10L2B","SMIM10L2B","NA"
"ETDB","ETDB","NA"
"AC234771.1","AC234771.1","NA"
"CT55","CT55","NA"
"ZNF75D","ZNF75D","NA"
"ETDA","ETDA","NA"
"ETDC","ETDC","NA"
"AL590282.2","AL590282.2","NA"
"ZNF449","ZNF449","NA"
"SMIM10L2A","SMIM10L2A","NA"
"INTS6L.AS1","INTS6L-AS1","NA"
"INTS6L","INTS6L","NA"
"CT45A1","CT45A1","NA"
"CT45A3","CT45A3","NA"
"CT45A5","CT45A5","NA"
"CT45A6","CT45A6","NA"
"CT45A2","CT45A2","NA"
"CT45A7","CT45A7","NA"
"CT45A8","CT45A8","NA"
"CT45A9","CT45A9","NA"
"CT45A10","CT45A10","NA"
"SAGE1","SAGE1","NA"
"MMGT1","MMGT1","NA"
"SLC9A6","SLC9A6","NA"
"FHL1","FHL1","NA"
"MAP7D3","MAP7D3","NA"
"ADGRG4","ADGRG4","NA"
"BRS3","BRS3","NA"
"HTATSF1","HTATSF1","NA"
"VGLL1","VGLL1","NA"
"CD40LG","CD40LG","NA"
"ARHGEF6","ARHGEF6","NA"
"AL683813.1","AL683813.1","NA"
"RBMX","RBMX","NA"
"GPR101","GPR101","NA"
"AL035443.1","AL035443.1","NA"
"ZIC3","ZIC3","NA"
"Z96074.1","Z96074.1","NA"
"FGF13","FGF13","NA"
"AL031386.1","AL031386.1","NA"
"FGF13.AS1","FGF13-AS1","NA"
"F9","F9","NA"
"MCF2","MCF2","NA"
"ATP11C","ATP11C","NA"
"CXorf66","CXORF66","NA"
"AL589987.2","AL589987.2","NA"
"FO393408.1","FO393408.1","NA"
"SOX3","SOX3","NA"
"AL844175.1","AL844175.1","NA"
"LINC00632","LINC00632","NA"
"CDR1","CDR1","NA"
"AL078639.1","AL078639.1","NA"
"AL451048.1","AL451048.1","NA"
"SPANXB1","SPANXB1","NA"
"AC234778.2","AC234778.2","NA"
"LDOC1","LDOC1","NA"
"SPANXC","SPANXC","NA"
"SPANXA2.OT1","SPANXA2-OT1","NA"
"SPANXA1","SPANXA1","NA"
"SPANXA2","SPANXA2","NA"
"SPANXD","SPANXD","NA"
"MAGEC3","MAGEC3","NA"
"MAGEC1","MAGEC1","NA"
"MAGEC2","MAGEC2","NA"
"SPANXN4","SPANXN4","NA"
"AC239727.1","AC239727.1","NA"
"SPANXN3","SPANXN3","NA"
"SLITRK4","SLITRK4","NA"
"SPANXN2","SPANXN2","NA"
"AL500522.1","AL500522.1","NA"
"AL713923.1","AL713923.1","NA"
"SPANXN1","SPANXN1","NA"
"SLITRK2","SLITRK2","NA"
"CXorf51B","CXORF51B","NA"
"CXorf51A","CXORF51A","NA"
"AL589669.1","AL589669.1","NA"
"L29074.1","L29074.1","NA"
"FMR1","FMR1","NA"
"FMR1NB","FMR1NB","NA"
"AC002368.1","AC002368.1","NA"
"AFF2","AFF2","NA"
"IDS","IDS","NA"
"AC244197.3","AC244197.3","NA"
"AC244197.2","AC244197.2","NA"
"LINC00893","LINC00893","NA"
"CXorf40A","CXORF40A","NA"
"HSFX3","HSFX3","NA"
"MAGEA9B","MAGEA9B","NA"
"HSFX2","HSFX2","NA"
"TMEM185A","TMEM185A","NA"
"MAGEA11","MAGEA11","NA"
"HSFX1","HSFX1","NA"
"MAGEA9","MAGEA9","NA"
"LINC00850","LINC00850","NA"
"MAGEA8.AS1","MAGEA8-AS1","NA"
"MAGEA8","MAGEA8","NA"
"CXorf40B","CXORF40B","NA"
"HSFX4","HSFX4","NA"
"LINC00894","LINC00894","NA"
"MAMLD1","MAMLD1","NA"
"MTM1","MTM1","NA"
"MTMR1","MTMR1","NA"
"CD99L2","CD99L2","NA"
"AF274573.1","AF274573.1","NA"
"HMGB3","HMGB3","NA"
"GPR50.AS1","GPR50-AS1","NA"
"GPR50","GPR50","NA"
"KC877982.1","KC877982.1","NA"
"VMA21","VMA21","NA"
"BX546450.2","BX546450.2","NA"
"BX546450.1","BX546450.1","NA"
"PASD1","PASD1","NA"
"PRRG3","PRRG3","NA"
"FATE1","FATE1","NA"
"CNGA2","CNGA2","NA"
"MAGEA4.AS1","MAGEA4-AS1","NA"
"MAGEA4","MAGEA4","NA"
"GABRE","GABRE","NA"
"MAGEA10","MAGEA10","NA"
"AC116666.1","AC116666.1","NA"
"GABRA3","GABRA3","NA"
"GABRQ","GABRQ","NA"
"MAGEA3","MAGEA3","NA"
"CSAG2","CSAG2","NA"
"MAGEA2B","MAGEA2B","NA"
"CSAG1","CSAG1","NA"
"MAGEA12","MAGEA12","NA"
"AC244102.1","AC244102.1","NA"
"MAGEA2","MAGEA2","NA"
"CSAG3","CSAG3","NA"
"MAGEA6","MAGEA6","NA"
"CETN2","CETN2","NA"
"NSDHL","NSDHL","NA"
"ZNF185","ZNF185","NA"
"PNMA5","PNMA5","NA"
"PNMA3","PNMA3","NA"
"PNMA6A","PNMA6A","NA"
"MAGEA1","MAGEA1","NA"
"AC236972.3","AC236972.3","NA"
"PNMA6F","PNMA6F","NA"
"ZNF275","ZNF275","NA"
"PNMA6E","PNMA6E","NA"
"ZFP92","ZFP92","NA"
"TREX2","TREX2","NA"
"HAUS7","HAUS7","NA"
"BGN","BGN","NA"
"ATP2B3","ATP2B3","NA"
"CCNQ","CCNQ","NA"
"DUSP9","DUSP9","NA"
"PNCK","PNCK","NA"
"SLC6A8","SLC6A8","NA"
"BCAP31","BCAP31","NA"
"ABCD1","ABCD1","NA"
"U52111.1","U52111.1","NA"
"PLXNB3","PLXNB3","NA"
"SRPK3","SRPK3","NA"
"IDH3G","IDH3G","NA"
"SSR4","SSR4","NA"
"PDZD4","PDZD4","NA"
"L1CAM","L1CAM","NA"
"U52112.2","U52112.2","NA"
"AVPR2","AVPR2","NA"
"ARHGAP4","ARHGAP4","NA"
"NAA10","NAA10","NA"
"RENBP","RENBP","NA"
"HCFC1","HCFC1","NA"
"HCFC1.AS1","HCFC1-AS1","NA"
"TMEM187","TMEM187","NA"
"IRAK1","IRAK1","NA"
"MECP2","MECP2","NA"
"OPN1LW","OPN1LW","NA"
"OPN1MW","OPN1MW","NA"
"OPN1MW2","OPN1MW2","NA"
"OPN1MW3","OPN1MW3","NA"
"TEX28","TEX28","NA"
"TKTL1","TKTL1","NA"
"AC245140.1","AC245140.1","NA"
"FLNA","FLNA","NA"
"AC245140.3","AC245140.3","NA"
"EMD","EMD","NA"
"RPL10","RPL10","NA"
"AC245140.2","AC245140.2","NA"
"DNASE1L1","DNASE1L1","NA"
"TAZ","TAZ","NA"
"AC244090.1","AC244090.1","NA"
"ATP6AP1","ATP6AP1","NA"
"GDI1","GDI1","NA"
"FAM50A","FAM50A","NA"
"PLXNA3","PLXNA3","NA"
"LAGE3","LAGE3","NA"
"UBL4A","UBL4A","NA"
"SLC10A3","SLC10A3","NA"
"FAM3A","FAM3A","NA"
"G6PD","G6PD","NA"
"IKBKG","IKBKG","NA"
"FAM223A","FAM223A","NA"
"CTAG1A","CTAG1A","NA"
"CTAG1B","CTAG1B","NA"
"FAM223B","FAM223B","NA"
"CTAG2","CTAG2","NA"
"GAB3","GAB3","NA"
"DKC1","DKC1","NA"
"MPP1","MPP1","NA"
"SMIM9","SMIM9","NA"
"F8","F8","NA"
"H2AFB1","H2AFB1","NA"
"F8A1","F8A1","NA"
"FUNDC2","FUNDC2","NA"
"CMC4","CMC4","NA"
"MTCP1","MTCP1","NA"
"BRCC3","BRCC3","NA"
"VBP1","VBP1","NA"
"RAB39B","RAB39B","NA"
"CLIC2","CLIC2","NA"
"AC234781.1","AC234781.1","NA"
"H2AFB2","H2AFB2","NA"
"F8A2","F8A2","NA"
"F8A3","F8A3","NA"
"H2AFB3","H2AFB3","NA"
"TMLHE.AS1","TMLHE-AS1","NA"
"BX571846.1","BX571846.1","NA"
"TMLHE","TMLHE","NA"
"SPRY3","SPRY3","NA"
"VAMP7","VAMP7","NA"
"IL9R","IL9R","NA"
"WASIR1","WASIR1","NA"
"AC144568.2","AC144568.2","NA"
"OR4F21","OR4F21","NA"
"ZNF596","ZNF596","NA"
"AC004908.1","AC004908.1","NA"
"AC004908.3","AC004908.3","NA"
"AC136777.1","AC136777.1","NA"
"FAM87A","FAM87A","NA"
"FBXO25","FBXO25","NA"
"AC083964.1","AC083964.1","NA"
"TDRP","TDRP","NA"
"ERICH1","ERICH1","NA"
"DLGAP2","DLGAP2","NA"
"AC100797.4","AC100797.4","NA"
"AC026950.2","AC026950.2","NA"
"AC129915.3","AC129915.3","NA"
"AC110288.1","AC110288.1","NA"
"AF067845.2","AF067845.2","NA"
"AF067845.1","AF067845.1","NA"
"AF067845.5","AF067845.5","NA"
"AF067845.4","AF067845.4","NA"
"DLGAP2.AS1","DLGAP2-AS1","NA"
"CLN8","CLN8","NA"
"AC100810.3","AC100810.3","NA"
