"","gene_short_name","feature"
"NPPA.AS1","NPPA-AS1","NA"
"NPPA","NPPA","NA"
"NPPB","NPPB","NA"
"KIAA2013","KIAA2013","NA"
"PLOD1","PLOD1","NA"
"MFN2","MFN2","NA"
"MIIP","MIIP","NA"
"TNFRSF8","TNFRSF8","NA"
"TNFRSF1B","TNFRSF1B","NA"
"VPS13D","VPS13D","NA"
"AC243836.1","AC243836.1","NA"
"DHRS3","DHRS3","NA"
"AC254633.1","AC254633.1","NA"
"AADACL4","AADACL4","NA"
"AADACL3","AADACL3","NA"
"C1orf158","C1ORF158","NA"
"PRAMEF12","PRAMEF12","NA"
"PRAMEF1","PRAMEF1","NA"
"LINC01784","LINC01784","NA"
"PRAMEF11","PRAMEF11","NA"
"HNRNPCL1","HNRNPCL1","NA"
"PRAMEF2","PRAMEF2","NA"
"PRAMEF4","PRAMEF4","NA"
"PRAMEF10","PRAMEF10","NA"
"PRAMEF7","PRAMEF7","NA"
"PRAMEF6","PRAMEF6","NA"
"PRAMEF27","PRAMEF27","NA"
"HNRNPCL3","HNRNPCL3","NA"
"PRAMEF25","PRAMEF25","NA"
"HNRNPCL2","HNRNPCL2","NA"
"AC245056.1","AC245056.1","NA"
"PRAMEF26","PRAMEF26","NA"
"HNRNPCL4","HNRNPCL4","NA"
"PRAMEF9","PRAMEF9","NA"
"PRAMEF13","PRAMEF13","NA"
"PRAMEF18","PRAMEF18","NA"
"PRAMEF5","PRAMEF5","NA"
"PRAMEF8","PRAMEF8","NA"
"PRAMEF33","PRAMEF33","NA"
"PRAMEF15","PRAMEF15","NA"
"AC243961.1","AC243961.1","NA"
"PRAMEF14","PRAMEF14","NA"
"PRAMEF19","PRAMEF19","NA"
"PRAMEF17","PRAMEF17","NA"
"PRAMEF20","PRAMEF20","NA"
"LRRC38","LRRC38","NA"
"AL354712.1","AL354712.1","NA"
"PDPN","PDPN","NA"
"AL359771.1","AL359771.1","NA"
"PRDM2","PRDM2","NA"
"KAZN","KAZN","NA"
"AL357873.1","AL357873.1","NA"
"KAZN.AS1","KAZN-AS1","NA"
